,sex,row_number,liters_drunk,drink,check_number,label,age_child,age_adult,age_old,morning,day,evening
0,0,90.0,1.0,1,8092,1,False,False,True,False,False,True
1,0,81.0,4.0,1,4252,1,False,True,False,False,True,False
2,1,14.0,3.0,0,6913,1,False,False,True,False,False,True
3,1,0.0,1.0,0,8479,1,False,False,True,False,True,False
4,1,84.0,1.0,0,6279,0,False,False,True,True,False,False
5,1,53.0,0.0,1,4814,0,False,False,True,True,False,False
6,1,1.0,2.0,0,8230,0,True,False,False,True,False,False
7,0,89.0,2.0,0,9240,1,False,True,False,False,False,True
8,1,3.0,2.0,0,9280,0,False,False,True,True,False,False
9,1,74.0,4.0,0,5443,1,False,True,False,False,False,True
10,1,87.0,3.0,1,6134,0,False,True,False,True,False,False
11,1,64.0,2.0,1,9376,0,False,False,True,True,False,False
12,1,82.0,2.5,0,7784,0,False,False,True,True,False,False
13,1,1.0,5.0,0,6163,1,False,True,False,False,False,True
14,1,47.0,3.0,0,3558,1,False,True,False,False,True,False
15,1,13.0,2.0,0,1290,1,False,False,True,False,False,True
16,0,71.0,4.0,0,2699,0,False,True,False,True,False,False
17,0,7.0,3.0,0,2181,1,False,False,True,False,True,False
18,1,94.0,4.0,0,3503,1,False,True,False,False,False,True
19,0,80.0,1.0,0,554,0,False,True,False,True,False,False
20,0,23.0,2.0,0,9331,1,False,False,True,False,False,True
21,0,32.0,5.0,0,4676,1,False,False,True,False,False,True
22,0,100.0,2.5,0,4190,1,False,False,True,False,True,False
23,1,27.0,2.0,0,5131,1,False,True,False,False,False,True
24,0,100.0,2.5,0,1705,1,False,True,False,False,False,True
25,0,13.0,0.0,1,1521,1,False,True,False,False,True,False
26,1,25.0,1.0,0,8469,1,False,False,True,False,True,False
27,0,42.0,0.0,0,5697,1,True,False,False,False,False,True
28,0,46.0,3.0,1,4057,1,False,True,False,False,False,True
29,0,91.0,2.5,1,5479,1,False,True,False,False,True,False
30,1,93.0,5.0,0,2144,0,False,True,False,True,False,False
31,1,37.0,2.0,0,7801,1,False,False,True,False,True,False
32,0,94.0,2.0,0,9378,1,False,False,True,False,False,True
33,0,37.0,3.0,0,7731,0,False,True,False,True,False,False
34,0,9.0,5.0,1,756,1,False,True,False,False,False,True
35,0,29.0,1.0,1,6764,0,False,True,False,False,True,False
36,0,9.0,2.0,0,9530,0,False,True,False,True,False,False
37,0,52.0,5.0,1,3779,1,False,True,False,True,False,False
38,0,61.0,2.0,0,3134,1,False,True,False,False,True,False
39,0,93.0,2.5,1,982,0,False,False,True,True,False,False
